Publicado;Lifetime Post Total Reach;Lifetime Post Total Impressions;Lifetime Engaged Users
4/2/18;892;1266;61
4/2/18;734;1190;97
4/3/18;2181;3307;331
4/4/18;646;869;28
4/4/18;879;1238;28
4/4/18;1808;2630;237
4/5/18;555;755;27
4/6/18;449;607;21
4/6/18;3802;5437;223
4/7/18;584;821;16
4/7/18;3555;4993;262
4/7/18;773;1025;38
4/8/18;443;601;12
4/9/18;1355;2006;126
4/9/18;6609;9239;585
4/10/18;548;770;48
4/11/18;1203;1632;120
4/11/18;2167;3155;296
4/12/18;767;1071;51
4/13/18;2273;3348;143
4/14/18;1202;1684;199
4/15/18;2066;2854;130
4/16/18;2210;3543;259
4/17/18;955;1264;93
4/17/18;346;447;12
4/18/18;2149;3058;305
4/19/18;1053;1509;93
4/19/18;727;1078;56
4/19/18;2291;3369;157
4/20/18;1301;1837;147
4/21/18;2210;3388;280
4/22/18;1558;2132;186
4/23/18;14279;21832;1472
4/25/18;828;1124;74
4/27/18;682;954;33
4/27/18;988;1442;91
4/28/18;5286;7156;333
4/29/18;998;1310;72
4/29/18;480;622;13
4/30/18;707;978;46
5/1/18;2210;2967;173
5/2/18;499;639;15
5/2/18;1652;2290;244
5/3/18;609;871;43
5/5/18;3789;5360;265
5/7/18;1264;1706;62
5/9/18;3140;4419;337
5/9/18;828;1098;34
5/10/18;334;426;9
5/10/18;775;1041;88
5/12/18;1462;2054;172
5/13/18;873;1218;113
5/13/18;876;1209;24
5/14/18;632;865;43
5/15/18;1253;1691;112
5/16/18;1051;1374;73
5/17/18;2921;4060;317
5/20/18;4283;5745;284
5/21/18;990;1318;58
5/22/18;2815;3776;198
5/24/18;10908;15361;783
5/25/18;2099;2753;199
5/27/18;2204;3110;174
5/28/18;3314;4439;287
5/29/18;875;1207;62
5/30/18;512;757;86
6/1/18;943;1304;194
6/1/18;906;1252;47
6/2/18;603;810;64
6/3/18;1835;2568;168
6/4/18;781;1062;66
6/5/18;579;778;37
6/5/18;3168;4199;204
6/7/18;3402;4678;336
6/9/18;764;1014;71
6/9/18;726;983;54
6/10/18;3309;4921;334
6/12/18;786;1084;46
6/13/18;723;973;96
6/15/18;1964;2600;171
6/16/18;985;1373;89
6/17/18;8360;11688;636
6/19/18;9391;13938;1024
6/22/18;1307;1809;110
6/23/18;2354;3418;256
6/25/18;497;696;49
6/27/18;1953;2609;285
6/30/18;1912;2732;206
6/30/18;847;1202;143
7/1/18;2757;4002;251
7/2/18;844;1143;48
7/4/18;1643;2225;99
7/6/18;3466;4869;220
7/6/18;653;846;39
7/8/18;1709;2253;130
7/11/18;1374;1896;141
7/11/18;378;485;27
7/11/18;2619;3814;295
7/14/18;2768;3892;271
7/15/18;7750;11448;470
7/17/18;2757;3974;254
7/18/18;2776;3787;176
7/20/18;2152;3012;198
7/21/18;1562;2070;145
7/22/18;3085;4156;191
7/23/18;2884;3847;254
7/24/18;990;1286;84
7/25/18;1177;1512;67
7/27/18;5867;8050;402
7/28/18;2258;3159;225
7/29/18;1242;1688;128
7/30/18;2641;3754;277
7/30/18;2645;3687;213
8/2/18;503;647;20
8/2/18;1595;2117;133
8/3/18;369;464;15
8/3/18;2427;3394;230
8/4/18;479;620;32
8/5/18;592;794;72
8/6/18;464;630;35
8/6/18;2421;3317;224
8/8/18;3240;4484;101
8/9/18;2765;4146;154
8/11/18;1209;1733;67
8/11/18;1108;1546;59
8/13/18;3122;4497;134
8/13/18;2908;4428;264
8/13/18;767;1037;21
8/15/18;4188;6902;334
8/16/18;1547;2313;93
8/18/18;439;584;18
8/18/18;3815;5649;354
8/20/18;4848;7614;415
8/21/18;1316;2004;57
8/21/18;1193;1454;16
8/23/18;1512;2008;50
8/24/18;645;957;41
8/24/18;1175;1815;68
8/24/18;5038;6949;276
8/25/18;1177;1740;87
8/26/18;828;1197;41
8/26/18;730;1004;36
8/28/18;2424;3423;151
8/30/18;3684;5443;309
8/31/18;2389;3234;206
9/1/18;4607;6689;550
9/3/18;5474;8284;556
9/3/18;419;574;23
9/5/18;995;1331;74
9/6/18;1537;2149;174
9/8/18;5492;7807;544
9/8/18;464;615;25
9/8/18;719;1001;53
9/9/18;583;763;54
9/10/18;392;483;25
9/10/18;3566;4978;369
9/11/18;2093;2785;193
9/12/18;5706;8136;438
9/13/18;353;459;18
9/14/18;204;225;39
9/14/18;1601;2166;86
9/16/18;2976;4238;198
9/17/18;3739;5379;264
9/19/18;448;618;31
9/20/18;6013;8804;470
9/22/18;948;1239;65
9/23/18;1634;2370;113
9/25/18;651;869;46
9/25/18;1023;1349;49
9/25/18;539;678;34
9/26/18;2149;2947;149
9/27/18;4340;5942;316
9/29/18;8695;12585;878
10/1/18;5061;6804;368
10/2/18;3968;5739;326
10/3/18;2090;2845;156
10/4/18;4061;6054;506
10/7/18;3136;5042;1129
10/9/18;5667;8168;429
10/11/18;1666;2365;179
10/13/18;4315;6370;347
10/16/18;3085;4481;283
10/17/18;341;454;18
10/17/18;2904;4277;409
10/18/18;814;1122;65
10/19/18;1266;1799;128
10/20/18;3751;6133;367
10/22/18;2418;3340;230
10/23/18;4704;6539;338
10/23/18;4674;7006;333
10/26/18;2997;4628;268
10/28/18;2726;3914;206
10/28/18;9990;14692;700
10/29/18;4243;6159;273
11/2/18;1623;2102;76
11/2/18;1910;2651;113
11/4/18;2761;3849;193
11/5/18;2573;3561;202
11/6/18;5339;7241;333
11/7/18;1038;1418;48
11/8/18;977;1362;122
11/9/18;1928;2633;113
11/10/18;2204;3135;145
11/11/18;2693;3944;390
11/13/18;1406;1997;122
11/14/18;2741;3924;162
11/14/18;3154;4451;232
11/16/18;2178;3167;212
11/16/18;1068;1440;48
11/16/18;1655;2208;105
11/16/18;2427;3425;202
11/17/18;3269;4679;349
11/19/18;2261;3228;155
11/20/18;1456;1917;83
11/22/18;3136;4688;417
11/22/18;1333;1779;107
11/24/18;1194;1612;61
11/25/18;2178;3072;166
11/26/18;2831;3920;224
11/27/18;939;1256;50
11/29/18;1404;1907;85
11/29/18;706;1044;76
11/29/18;1650;2198;94
11/30/18;4039;5720;402
11/30/18;4211;6064;314
12/1/18;3521;4902;232
12/1/18;1249;1739;51
12/1/18;1917;2648;157
12/2/18;6064;8770;424
12/3/18;3094;4524;193
12/5/18;2270;3112;141
12/8/18;2843;4002;245
12/8/18;3690;5097;177
12/8/18;9524;14088;886
12/12/18;3206;4726;283
12/13/18;3802;5588;300
12/15/18;1595;2316;141
12/15/18;1770;2444;95
12/16/18;1331;1868;66
12/17/18;1619;2242;86
12/17/18;1837;2521;110
12/19/18;4869;7345;518
